Element,Subset,25%,33% V,33% H,50% V,50% H,67% V,67% H,100%
Paragraph,paragraph_800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paragraph,paragraph_1000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paragraph,paragraph_1500,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paragraph,paragraph_1800,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Paragraph,paragraph_3000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bullet title,bullettitle_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet title,bullettitle_3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet title,bullettitle_4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet title,bullettitle_5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet title,bullettitle_6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bullet title,bullettitle_7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Bullet title,bullettitle_8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Bullet title,bullettitle_9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Bullet title,bullettitle_10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Bullet body,bulletbody_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet body,bulletbody_3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet body,bulletbody_4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bullet body,bulletbody_5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Bullet body,bulletbody_6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Bullet body,bulletbody_7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bullet body,bulletbody_8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bullet body,bulletbody_9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bullet body,bulletbody_10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image portrait,imageportrait_1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Image portrait,imageportrait_2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Image portrait,imageportrait_3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Image portrait,imageportrait_4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Image portrait,imageportrait_5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Image portrait,imageportrait_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image portrait,imageportrait_7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image portrait,imageportrait_8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image portrait,imageportrait_9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image portrait,imageportrait_10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image square,imagesquare_1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image square,imagesquare_2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image square,imagesquare_3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image square,imagesquare_4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image square,imagesquare_5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Image square,imagesquare_6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Image square,imagesquare_7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Image square,imagesquare_8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Image square,imagesquare_9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image square,imagesquare_10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image landscape,imagelandscape_2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image landscape,imagelandscape_3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Image landscape,imagelandscape_4,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Image landscape,imagelandscape_5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image landscape,imagelandscape_10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Table,table_small,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Table,table_medium,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Table,table_large,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Quote,quote_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Quote,quote_2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Quote,quote_3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Quote,quote_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
List,list_6,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_7,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
List,list_8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
List,list_9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
List,list_10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
List,list_11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
List,list_25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cycle,cycle_2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Cycle,cycle_3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Cycle,cycle_4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Cycle,cycle_5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Cycle,cycle_6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Process,process_1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Process,process_2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Process,process_3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Process,process_4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Process,process_5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Timeline,timeline_2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Timeline,timeline_3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Timeline,timeline_4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Timeline,timeline_5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Timeline,timeline_6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Timeline,timeline_7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Timeline,timeline_8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Funnel,funnel_2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Funnel,funnel_3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Funnel,funnel_4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Funnel,funnel_5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Funnel,funnel_6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Pyramid,pyramid_1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Pyramid,pyramid_2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Pyramid,pyramid_3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Pyramid,pyramid_4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Pyramid,pyramid_5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Pyramid,pyramid_6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
