Subset,Weights,Size weights,Combined Weight
paragraph_800,0.5,0.5,0.25
paragraph_1000,0.5,0.5,0.25
paragraph_1500,0.5,0.5,0.25
paragraph_1800,0.5,0.8,0.4
paragraph_3000,0.5,1,0.5
bullettitle_2,0.3,0.4,0.12
bullettitle_3,0.3,0.5,0.15
bullettitle_4,0.3,0.6,0.18
bullettitle_5,0.3,0.6,0.18
bullettitle_6,0.3,0.6,0.18
bullettitle_7,0.3,0.6,0.18
bullettitle_8,0.3,0.7,0.21
bullettitle_9,0.3,0.8,0.24
bullettitle_10,0.3,1,0.3
bulletbody_2,0.6,0.5,0.3
bulletbody_3,0.6,0.5,0.3
bulletbody_4,0.6,0.6,0.36
bulletbody_5,0.6,0.7,0.42
bulletbody_6,0.6,0.75,0.45
bulletbody_7,0.6,0.8,0.48
bulletbody_8,0.6,0.9,0.54
bulletbody_9,0.6,1,0.6
bulletbody_10,0.6,1,0.6
imageportrait_1,0.4,0.4,0.16
imageportrait_2,0.4,0.4,0.16
imageportrait_3,0.4,0.5,0.2
imageportrait_4,0.4,0.6,0.24
imageportrait_5,0.4,0.7,0.28
imageportrait_6,0.4,0.7,0.28
imageportrait_7,0.4,0.9,0.36
imageportrait_8,0.4,0.9,0.36
imageportrait_9,0.4,0.9,0.36
imageportrait_10,0.4,1,0.4
imagesquare_1,0.4,0.4,0.16
imagesquare_2,0.4,0.4,0.16
imagesquare_3,0.4,0.5,0.2
imagesquare_4,0.4,0.6,0.24
imagesquare_5,0.4,0.7,0.28
imagesquare_6,0.4,0.7,0.28
imagesquare_7,0.4,0.9,0.36
imagesquare_8,0.4,0.9,0.36
imagesquare_9,0.4,0.9,0.36
imagesquare_10,0.4,1,0.4
imagelandscape_1,0.4,0.4,0.16
imagelandscape_2,0.4,0.4,0.16
imagelandscape_3,0.4,0.5,0.2
imagelandscape_4,0.4,0.6,0.24
imagelandscape_5,0.4,0.7,0.28
imagelandscape_6,0.4,0.7,0.28
imagelandscape_7,0.4,0.9,0.36
imagelandscape_8,0.4,0.9,0.36
imagelandscape_9,0.4,0.9,0.36
imagelandscape_10,0.4,1,0.4
table_small,0.4,0.5,0.2
table_medium,0.4,0.7,0.28
table_large,0.4,0.9,0.36
quote_1,0.6,0.6,0.36
quote_2,0.6,0.8,0.48
quote_3,0.6,1,0.6
quote_4,0.6,1,0.6
list_1,0.7,0.5,0.35
list_2,0.7,0.6,0.42
list_3,0.7,0.6,0.42
list_4,0.7,0.7,0.49
list_5,0.7,0.8,0.56
list_6,0.7,0.8,0.56
list_7,0.7,0.9,0.63
list_8,0.7,1,0.7
list_9,0.7,1,0.7
list_10,0.7,1,0.7
list_11,0.7,1,0.7
list_12,0.7,1,0.7
list_15,0.7,1,0.7
list_16,0.7,1,0.7
list_20,0.7,1,0.7
list_25,0.7,1,0.7
cycle_2,0.5,0.6,0.3
cycle_3,0.5,0.7,0.35
cycle_4,0.5,0.8,0.4
cycle_5,0.5,0.9,0.45
cycle_6,0.5,1,0.5
process_1,0.9,0.6,0.54
process_2,0.9,0.7,0.63
process_3,0.9,0.8,0.72
process_4,0.9,0.9,0.81
process_5,0.9,1,0.9
timeline_2,0.9,0.5,0.45
timeline_3,0.9,0.6,0.54
timeline_4,0.9,0.6,0.54
timeline_5,0.9,0.7,0.63
timeline_6,0.9,0.8,0.72
timeline_7,0.9,0.9,0.81
timeline_8,0.9,1,0.9
funnel_2,0.6,0.6,0.36
funnel_3,0.6,0.7,0.42
funnel_4,0.6,0.8,0.48
funnel_5,0.6,0.9,0.54
funnel_6,0.6,1,0.6
pyramid_1,0.6,0.5,0.3
pyramid_2,0.6,0.6,0.36
pyramid_3,0.6,0.7,0.42
pyramid_4,0.6,0.8,0.48
pyramid_5,0.6,0.9,0.54
pyramid_6,0.6,1,0.6